tik,uik,turnout,stationary,putin,koib,cam,marked,gaps
5 Всеволожская,952,73%,2447,71%,,,,missing
5 Всеволожская,963,67%,2440,65%,,,,missing
5 Всеволожская,201,58%,2435,65%,,,,missing
26 Тихвинская,984,95%,2381,73%,,,,missing
5 Всеволожская,962,60%,2309,64%,,,,missing
5 Всеволожская,953,90%,2290,81%,,,,missing
6 Выборгская,328,70%,2221,78%,,,,missing
7 Гатчинская,410,83%,2212,85%,,c1,,
7 Гатчинская,410,83%,2212,85%,,c2,yes,
5 Всеволожская,199,79%,2197,80%,,,,missing
5 Всеволожская,137,71%,2179,77%,,,,missing
5 Всеволожская,967,96%,2163,77%,,,,missing
6 Выборгская,330,92%,2165,81%,,,,missing
5 Всеволожская,118,90%,2163,87%,,,,missing
26 Тихвинская,847,85%,2080,77%,,c1,yes,"21, 45"
26 Тихвинская,847,85%,2080,77%,,c2,,"20, 45"
5 Всеволожская,127,96%,2070,72%,,,,missing
16 Ломоносовская,632,71%,2065,77%,,,,missing
17 Лужская,687,71%,2064,78%,,,,missing
12 Киришская,524,73%,2063,74%,КОИБ,c1,yes,"7, 35"
12 Киришская,524,73%,2063,74%,КОИБ,c2,yes,39
5 Всеволожская,961,72%,2046,70%,,,,missing
5 Всеволожская,196,77%,2036,84%,,c1,,"23, 36"
5 Всеволожская,196,77%,2036,84%,,c2,yes,"21, 35, 4"
12 Киришская,516,73%,2007,73%,КОИБ,c1,,45
12 Киришская,516,73%,2007,73%,КОИБ,c2,yes,"19, 45, 28, 612"
27 Тосненская,926,84%,1997,85%,,c1,yes,"6, 36"
27 Тосненская,926,84%,1997,85%,,c2,,35
5 Всеволожская,138,64%,1981,74%,,,,missing
5 Всеволожская,189,70%,1989,80%,,c1,,"22, 35, 13041"
5 Всеволожская,189,70%,1989,80%,,c2,yes,"21, 44, 13049"
13 Кировская,566,68%,1892,79%,,c1,yes,"8, 35"
13 Кировская,566,68%,1892,79%,,c2,yes,"11, 36"
25 Сосновоборская городская,948,68%,1890,76%,КОИБ,c1,yes,"20, 46"
25 Сосновоборская городская,948,68%,1890,76%,КОИБ,c2,yes,"21, 42"
25 Сосновоборская городская,949,71%,1886,77%,КОИБ,c1,,"20, 43"
25 Сосновоборская городская,949,71%,1886,77%,КОИБ,c2,yes,"21, 45"
13 Кировская,574,68%,1874,80%,,,,missing
6 Выборгская,292,89%,1855,86%,,c1,yes,"19, 42"
6 Выборгская,292,89%,1855,86%,,c2,,"20, 45"
16 Ломоносовская,630,72%,1821,82%,,,,missing
27 Тосненская,902,88%,1823,87%,,c1,yes,"19, 42"
27 Тосненская,902,88%,1823,87%,,c2,yes,
17 Лужская,688,71%,1814,76%,,,,missing
7 Гатчинская,372,67%,1818,76%,,c1,,"21, 43"
7 Гатчинская,372,67%,1818,76%,,c2,,"20, 45"
13 Кировская,567,63%,1805,78%,,c1,,"6, 35"
13 Кировская,567,63%,1805,78%,,c2,yes,"13, 36"
7 Гатчинская,373,75%,1797,75%,,c1,yes,"20, 45"
7 Гатчинская,373,75%,1797,75%,,c2,,"21, 42"
13 Кировская,571,66%,1776,76%,,,,missing
25 Сосновоборская городская,947,70%,1774,74%,КОИБ,c1,yes,"20, 47"
25 Сосновоборская городская,947,70%,1774,74%,КОИБ,c2,yes,"20, 38"
25 Сосновоборская городская,928,69%,1762,72%,КОИБ,c1,yes,"15, 36"
25 Сосновоборская городская,928,69%,1762,72%,КОИБ,c2,yes,"15, 46"
25 Сосновоборская городская,929,66%,1761,77%,КОИБ,c1,yes,"20, 275, 50"
25 Сосновоборская городская,929,66%,1761,77%,КОИБ,c2,yes,"22, 273, 35"
3 Волховская,69,63%,1765,79%,,c1,yes,"21, 47"
3 Волховская,69,63%,1765,79%,,c2,,"21, 47"
16 Ломоносовская,635,65%,1755,77%,,,,missing
25 Сосновоборская городская,946,73%,1756,75%,КОИБ,c1,yes,
25 Сосновоборская городская,946,73%,1756,75%,КОИБ,c2,,"23, 36"
5 Всеволожская,181,59%,1747,81%,КОИБ,c1,yes,"9, 36"
5 Всеволожская,181,59%,1747,81%,КОИБ,c2,,"11, 38"
16 Ломоносовская,634,90%,1736,80%,,,,missing
7 Гатчинская,369,65%,1737,76%,,c1,yes,"3, 44"
7 Гатчинская,369,65%,1737,76%,,c2,,"16, 37"
16 Ломоносовская,626,77%,1723,76%,КОИБ,,,missing
5 Всеволожская,202,57%,1727,66%,,,,missing
27 Тосненская,925,89%,1725,88%,,c1,yes,"12, 37"
27 Тосненская,925,89%,1725,88%,,c2,yes,"8, 36"
5 Всеволожская,145,86%,1718,82%,,,,missing
5 Всеволожская,121,92%,1717,84%,,c1,yes,
5 Всеволожская,121,92%,1717,84%,,c2,yes,4
25 Сосновоборская городская,945,70%,1719,79%,КОИБ,c1,yes,"21, 44"
25 Сосновоборская городская,945,70%,1719,79%,КОИБ,c2,yes,"21, 20, 3, 22, 3, 4, 40, 3, 4"
5 Всеволожская,960,83%,1690,69%,,,,missing
7 Гатчинская,405,82%,1696,82%,,c1,yes,"42, 42, 49"
7 Гатчинская,405,82%,1696,82%,,c2,,"40, 47"
7 Гатчинская,432,76%,1690,81%,,c1,yes,"5, 24, 4, 5, 47"
7 Гатчинская,432,76%,1690,81%,,c2,yes,"21, 38"
5 Всеволожская,220,76%,1680,79%,,,,missing
25 Сосновоборская городская,938,68%,1686,76%,КОИБ,c1,yes,"19, 48"
25 Сосновоборская городская,938,68%,1686,76%,КОИБ,c2,yes,
3 Волховская,80,64%,1683,79%,,c1,,"19, 44"
3 Волховская,80,64%,1683,79%,,c2,yes,41
25 Сосновоборская городская,942,71%,1673,78%,КОИБ,c1,yes,
25 Сосновоборская городская,942,71%,1673,78%,КОИБ,c2,yes,"20, 35"
13 Кировская,569,63%,1679,78%,,c1,yes,40
13 Кировская,569,63%,1679,78%,,c2,,36
26 Тихвинская,826,72%,1660,78%,,c1,yes,"20, 38"
26 Тихвинская,826,72%,1660,78%,,c2,yes,"19, 37, 2"
13 Кировская,565,66%,1667,77%,,c1,yes,"6, 36"
13 Кировская,565,66%,1667,77%,,c2,,"25, 36"
25 Сосновоборская городская,930,66%,1669,76%,КОИБ,c1,,"21, 59, 88, 173, 316, 35"
25 Сосновоборская городская,930,66%,1669,76%,КОИБ,c2,yes,"21, 60, 85, 178, 305, 35"
25 Сосновоборская городская,943,74%,1654,76%,КОИБ,c1,yes,"22, 38"
25 Сосновоборская городская,943,74%,1654,76%,КОИБ,c2,yes,"15, 38"
27 Тосненская,866,89%,1640,84%,,c1,yes,"21, 43"
27 Тосненская,866,89%,1640,84%,,c2,yes,"23, 40"
7 Гатчинская,367,65%,1645,75%,,c1,yes,"20, 40"
7 Гатчинская,367,65%,1645,75%,,c2,,"23, 37"
16 Ломоносовская,633,71%,1632,82%,,,,missing
13 Кировская,573,67%,1631,82%,,,,missing
13 Кировская,564,60%,1638,79%,,,,missing
2 Волосовская,43,93%,1622,91%,,,,missing
5 Всеволожская,205,71%,1623,81%,,c1,,"9, 35"
5 Всеволожская,205,71%,1623,81%,,c2,yes,"9, 35"
1 Бокситогорская,2,72%,1617,78%,,c1,yes,"20, 43"
1 Бокситогорская,2,72%,1617,78%,,c2,yes,"22, 42"
